unique_id,instrument,bjd,rv,rv_err,fwhm,contrast,BIS
00373279,Hermes,55816.4696271,0.732184422938,0.06,20.8401573985,0.33,-2.00763726951
00373280,Hermes,55816.4709196,0.744184422938,0.06,20.8166091981,0.33,-2.0055610908
00373281,Hermes,55816.4722209,0.755184422938,0.06,20.8401573985,0.33,-2.00153449285
00373371,Hermes,55817.5106675,-21.2578155771,0.063,20.863705599,0.23,0.0861314102663
00373372,Hermes,55817.5119613,-21.3368155771,0.063,20.863705599,0.23,0.135017039666
00373457,Hermes,55818.4940936,-31.4732623082,0.055,18.4853373535,0.24,0.418179898597
00373458,Hermes,55818.4953838,-31.4856311541,0.055,18.461789153,0.24,0.412223247027
00373459,Hermes,55818.4966746,-31.4654467312,0.055,18.461789153,0.24,0.424434877245
00373547,Hermes,55819.4972692,-22.0646311541,0.033,14.6234324796,0.35,-0.294329694926
00373548,Hermes,55819.4985636,-22.0576311541,0.033,14.6234324796,0.35,-0.303012346879
00373549,Hermes,55819.4998534,-22.0406311541,0.033,14.6234324796,0.35,-0.301779059861
00388335,Hermes,55896.4027821,-5.15226230825,0.042,18.249855349,0.36,-1.28193415389
00388336,Hermes,55896.4037239,-5.15844673119,0.042,18.249855349,0.36,-1.26948424478
00388337,Hermes,55896.404665,-5.12426230825,0.041,18.249855349,0.36,-1.26955261972
00388535,Hermes,55897.3420515,3.85055326881,0.077,23.6659414526,0.28,-2.41677371583
00388536,Hermes,55897.3429991,3.84155326881,0.077,23.6659414526,0.28,-2.41969013693
00388537,Hermes,55897.3439401,3.85255326881,0.077,23.6659414526,0.28,-2.41832351683
00388729,Hermes,55898.3507164,-33.4126311541,0.07,19.7804883783,0.19,1.12515169071
00388730,Hermes,55898.3516896,-33.4214467312,0.07,19.7333919774,0.19,1.09823209722
00388731,Hermes,55898.3526603,-33.4416311541,0.07,19.7569401778,0.19,1.1137447585
00388862,Hermes,55899.3649025,-28.1918155771,0.04,16.9311561238,0.27,0.23903366917
00388863,Hermes,55899.3658531,-28.1768155771,0.04,16.9076079233,0.27,0.248312391456
00388864,Hermes,55899.3668056,-28.1828155771,0.04,16.8840597229,0.27,0.24952867379
00388952,Hermes,55900.3872186,-17.9917090394,0.027,13.4695706576,0.39,-0.324489480199
00388953,Hermes,55900.3888632,-17.9575246165,0.028,13.4695706576,0.39,-0.341809910807
00388954,Hermes,55900.3908493,-17.9475246165,0.028,13.4695706576,0.39,-0.345246308313
00389044,Hermes,55901.4280944,-7.90007788531,0.039,16.5543849166,0.37,-1.20971729696
00389045,Hermes,55901.4297394,-7.86689346237,0.038,16.5072885157,0.37,-1.1900774821
00389046,Hermes,55901.4319009,-7.84089346237,0.038,16.5308367161,0.37,-1.20014509776
00441796,Hermes,56275.3267627,-25.4731844229,0.034,15.8479389031,0.32,0.0261170810111
00441800,Hermes,56275.379256,-24.95,0.033,15.636005099,0.32,0.00374111929217
00441810,Hermes,56275.4349764,-24.4021844229,0.032,15.4005230945,0.33,-0.0175183019655
00442191,Hermes,56276.3979269,-14.6934467312,0.03,13.9169864661,0.41,-0.626340284282
00442196,Hermes,56276.4489563,-14.2001844229,0.031,14.0111792679,0.41,-0.655810742161
00442380,Hermes,56277.3287611,-6.235,0.044,17.9437287431,0.37,-1.3886524656
00442386,Hermes,56277.4223585,-5.45618442294,0.045,18.3675963512,0.37,-1.42905827047
00442390,Hermes,56277.4560197,-5.174,0.046,18.5088855539,0.37,-1.44799413956
00442699,Hermes,56278.3421204,3.412,0.08,23.6659414526,0.29,-2.52335466754
00442703,Hermes,56278.3800414,3.51436884588,0.081,23.948519858,0.28,-2.5408544518
00442707,Hermes,56278.4382978,3.42518442294,0.084,24.3723874661,0.27,-2.56368420593
00443168,Hermes,56279.3251435,-33.2688155771,0.07,19.921777581,0.2,1.21135614759
00443171,Hermes,56279.3603922,-33.7456311541,0.07,19.8511329796,0.2,1.20043776081
00443175,Hermes,56279.4071303,-34.1818155771,0.07,19.7804883783,0.2,1.15941499992
00443502,Hermes,56280.3216422,-28.9858155771,0.043,17.4963129346,0.27,0.208382577697
00443506,Hermes,56280.3601491,-28.6234467312,0.042,17.3550237319,0.28,0.183443098385
00443509,Hermes,56280.3943282,-28.327,0.041,17.2372827296,0.28,0.149386724339
00443722,Hermes,56282.3334128,-9.272,0.037,16.2482583107,0.39,-1.09023542479
