unique_id   star_name      bjd   exp_time bary_corr RV_drift telluric_offset terruric_offset_err width_telfit rv rv_err n_lines depth_ccf depth_ccf_err sigma_ccf sigma_ccf_err snr  O_C wv_cal_file mask_file FF_file FF_file2 FF_file3  
00999266   alfUMi      2459321.5345710   30 -10.674 0.000 -0.048 0.002 2.051 -15.413 0.042 1001 0.218 0.001 6.619 0.07 267.25  0.00    /projects/astro/mercator21/STARS/alfUMi/20210416/reduced/00999262_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210416/reduced/00999217_HRF_FF_ext.fits
00999374   alfUMi      2459322.5273045   30 -10.574 0.000 -0.007 0.001 2.101 -15.750 0.040 1001 0.224 0.001 6.506 0.06 289.02  0.00    /projects/astro/mercator21/STARS/alfUMi/20210417/reduced/00999368_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210417/reduced/00999324_HRF_FF_ext.fits
00999480   alfUMi      2459323.4783114   30 -10.477 0.000 0.015 0.001 2.188 -13.309 0.061 1002 0.233 0.002 6.487 0.10 189.06  0.01    /projects/astro/mercator21/STARS/alfUMi/20210418/reduced/00999477_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210418/reduced/00999429_HRF_FF_ext.fits
00999584   alfUMi      2459324.5045542   30 -10.367 0.000 -0.008 0.001 2.115 -12.655 0.072 1001 0.226 0.003 6.566 0.11 161.28  0.01    /projects/astro/mercator21/STARS/alfUMi/20210419/reduced/00999585_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210419/reduced/00999539_HRF_FF_ext.fits
00999895   alfUMi      2459327.4920898   30 -10.032 0.000 0.009 0.001 2.158 -13.177 0.072 1002 0.234 0.003 6.493 0.11 275.71  0.01    /projects/astro/mercator21/STARS/alfUMi/20210422/reduced/00999891_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210422/reduced/00999848_HRF_FF_ext.fits
01000359   alfUMi      2459332.3619844   30 -9.439 0.000 0.002 0.001 2.144 -12.351 0.093 1001 0.226 0.003 6.652 0.15 196.37  0.01    /projects/astro/mercator21/STARS/alfUMi/20210427/reduced/01000355_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210427/reduced/01000324_HRF_FF_ext.fits
01000923   alfUMi      2459338.4776042   30 -8.610 0.000 0.000 0.001 2.167 -15.364 0.078  997 0.217 0.003 6.779 0.12 209.61  0.01    /projects/astro/mercator21/STARS/alfUMi/20210503/reduced/01000924_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210503/reduced/01000881_HRF_FF_ext.fits
01001357   alfUMi      2459342.4299943   30 -8.025 0.000 -0.135 0.002 2.114 -15.544 0.087  998 0.214 0.003 6.923 0.14 268.33  0.01    /projects/astro/mercator21/STARS/alfUMi/20210507/reduced/01001374_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210507/reduced/01001319_HRF_FF_ext.fits
01001770   alfUMi      2459346.3926850   30 -7.401 0.000 -0.035 0.001 2.130 -15.417 0.085  996 0.212 0.003 7.228 0.14 283.95  0.01    /projects/astro/mercator21/STARS/alfUMi/20210511/reduced/01001762_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210511/reduced/01001731_HRF_FF_ext.fits
01002773   alfUMi      2459355.4181122   50 -5.858 0.000 0.025 0.001 2.214 -12.810 0.082  996 0.217 0.003 7.395 0.13 227.28  0.01    /projects/astro/mercator21/STARS/alfUMi/20210520/reduced/01002775_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210520/reduced/01002722_HRF_FF_ext.fits
01002896   alfUMi      2459356.4395684   30 -5.674 0.000 0.027 0.001 2.226 -12.927 0.069  993 0.209 0.002 7.587 0.11 201.37  0.01    /projects/astro/mercator21/STARS/alfUMi/20210521/reduced/01002899_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210521/reduced/01002848_HRF_FF_ext.fits
